text,sc_status,income,purpose,activity,project_cost,loan_required,education_level,course,course_type,course_recognized
"I need a loan to study BTech. I am an SC student, my income is 3.5 lakh, and the course fee is ₹1276989.",Yes,350548,Education,NA,1276989,954078,Postgraduate,BTech,professional,Yes
"I need a loan to study BTech. I am an SC student, my income is 3.6 lakh, and the course fee is 9.4 lakh.",Yes,358133,Education,NA,944406,944406,Postgraduate,BTech,medical,Yes
I am an SC beneficiary. My family income is 3.5 lakh. I want to start a food business business and need a loan of Rs 397028.,Yes,345306,Business,food business,434331,397028,NA,NA,NA,NA
I am from SC category and want financial help for my fisheries. The total project cost is Rs 209674 and I need 2.0 lakhs as loan. My annual income is Rs 378642.,Yes,378642,Business,fisheries,209674,199155,NA,NA,NA,NA
I want to open a transport. I am an SC beneficiary and my yearly family income is 4.6 lakhs. I require about 4.0 lakhs.,Yes,456840,Business,transport,456596,400790,NA,NA,NA,NA
"My family earns 3.6 lakh per year. I am an SC beneficiary and want to pursue BCA, which is a management course. The fee is Rs 3658987.",Yes,364649,Education,NA,3658987,1043204,Postgraduate,BCA,management,Yes
I belong to the SC category. I want an education loan for MCA. My annual family income is ₹331939 and I need around 18.2 lakhs.,Yes,331939,Education,NA,3546352,1820191,12th,MCA,technical,Yes
"I need a loan to study law. I am an SC student, my income is Rs 425145, and the course fee is 35.7 lakh.",Yes,425145,Education,NA,3568613,365489,Graduate,law,medical,Yes
I do not belong to the SC category. My family income is ₹307238 and I need a loan for a food business.,No,307238,Business,food business,347443,297443,NA,NA,NA,NA
I do not belong to the SC category. My family income is ₹251959 and I need a loan for a tailoring.,No,251959,Business,tailoring,330460,280460,NA,NA,NA,NA
I am an SC student and my family income is 4.5 lakh. I want to study BCA. My course fee is 839460 rupees and I need a loan of Rs 839460.,Yes,453385,Education,NA,839460,839460,12th,BCA,technical,Yes
I am not an SC beneficiary. I want to start a poultry and need ₹194562.,No,460723,Business,poultry,244562,194562,NA,NA,NA,NA
"I need a loan to study law. I am an SC student, my income is 4.6 lakh, and the course fee is 29.9 lakhs.",Yes,463689,Education,NA,2992301,2548272,12th,law,management,Yes
I am from SC category and want financial help for my computer centre. The total project cost is ₹341495 and I need 2.8 lakh as loan. My annual income is 2.2 lakh.,Yes,224629,Business,computer centre,341495,283494,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a computer centre and need 2.1 lakhs.,No,164799,Business,computer centre,261036,211036,NA,NA,NA,NA
I am from SC category and want financial help for my computer centre. The total project cost is ₹461665 and I need Rs 408444 as loan. My annual income is 260676 rupees.,Yes,260676,Business,computer centre,461665,408444,NA,NA,NA,NA
"I need a loan to study pharmacy. I am an SC student, my income is 2.1 lakh, and the course fee is 16.1 lakhs.",Yes,214316,Education,NA,1613423,1613423,Postgraduate,pharmacy,management,Yes
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is 2.3 lakh and I require 8.5 lakhs.,Yes,229667,Education,NA,1373968,845498,12th,nursing,professional,Yes
My family earns around 109046 rupees per year. I belong to the SC community and want to start a transport. I need around 3.0 lakhs.,Yes,109046,Business,transport,382395,302330,NA,NA,NA,NA
I am an SC beneficiary. My family income is 246220 rupees. I want to start a food business business and need a loan of Rs 301555.,Yes,246220,Business,food business,357273,301555,NA,NA,NA,NA
"My family earns 2.5 lakhs per year. I am an SC beneficiary and want to pursue MBA, which is a management course. The fee is 34.3 lakhs.",Yes,249271,Education,NA,3429576,3389626,Postgraduate,MBA,management,Yes
I am an SC student and my family income is 80240 rupees. I want to study nursing. My course fee is Rs 302847 and I need a loan of 3.0 lakhs.,Yes,80240,Education,NA,302847,302847,Graduate,nursing,professional,Yes
"I need a loan to study medical. I am an SC student, my income is ₹178749, and the course fee is ₹2622582.",Yes,178749,Education,NA,2622582,2316402,Graduate,medical,management,Yes
I am not an SC beneficiary. I want to start a small manufacturing and need 2.6 lakhs.,No,237634,Business,small manufacturing,314317,264317,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is 2.9 lakh and I require 5.4 lakh.,Yes,290090,Education,NA,544693,544693,12th,nursing,technical,Yes
I am not an SC beneficiary. I want to start a fisheries and need Rs 165680.,No,252432,Business,fisheries,215680,165680,NA,NA,NA,NA
"My family earns Rs 348889 per year. I am an SC beneficiary and want to pursue pharmacy, which is a management course. The fee is Rs 2450930.",Yes,348889,Education,NA,2450930,2450930,Postgraduate,pharmacy,management,Yes
I belong to Scheduled Caste and want to start a small food business. My income is 4.0 lakhs and the project will cost about 1.2 lakhs.,Yes,401943,Business,food business,124969,68964,NA,NA,NA,NA
I am an SC student and my family income is 4.0 lakh. I want to study nursing. My course fee is ₹1153530 and I need a loan of 7.0 lakhs.,Yes,397947,Education,NA,1153530,703571,12th,nursing,management,Yes
My family earns around Rs 162469 per year. I belong to the SC community and want to start a computer centre. I need around 2.7 lakh.,Yes,162469,Business,computer centre,308330,268730,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small service business. My income is 320707 rupees and the project will cost about ₹137287.,Yes,320707,Business,service business,137287,58087,NA,NA,NA,NA
"I need a loan to study MBA. I am an SC student, my income is ₹405348, and the course fee is Rs 1666586.",Yes,405348,Education,NA,1666586,91481,Postgraduate,MBA,professional,Yes
"My family earns 4.6 lakh per year. I am an SC beneficiary and want to pursue law, which is a management course. The fee is 10.7 lakh.",Yes,459372,Education,NA,1074026,484922,12th,law,management,Yes
I am an SC student and my family income is 174531 rupees. I want to study BTech. My course fee is Rs 2528612 and I need a loan of 25.3 lakh.,Yes,174531,Education,NA,2528612,2528612,Postgraduate,BTech,management,Yes
"My family earns 1.1 lakh per year. I am an SC beneficiary and want to pursue medical, which is a medical course. The fee is 2972499 rupees.",Yes,113009,Education,NA,2972499,165657,Graduate,medical,medical,Yes
My family earns around ₹398929 per year. I belong to the SC community and want to start a tailoring. I need around Rs 187516.,Yes,398929,Business,tailoring,241945,187516,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small small manufacturing. My income is 448678 rupees and the project will cost about 284715 rupees.,Yes,448678,Business,small manufacturing,284715,209480,NA,NA,NA,NA
"My family earns 4.6 lakhs per year. I am an SC beneficiary and want to pursue law, which is a medical course. The fee is ₹1002448.",Yes,459276,Education,NA,1002448,780662,Graduate,law,medical,Yes
I am from Scheduled Caste and want financial assistance for my MBA course. My family income is Rs 379060 and I require 16.3 lakhs.,Yes,379060,Education,NA,1687540,1632031,Graduate,MBA,management,Yes
I am not an SC beneficiary. I want to start a food business and need 2.5 lakhs.,No,384113,Business,food business,296348,246348,NA,NA,NA,NA
I belong to the SC category. I want an education loan for BCA. My annual family income is ₹316005 and I need around 563153 rupees.,Yes,316005,Education,NA,1777641,563153,12th,BCA,medical,Yes
"My family earns 490555 rupees per year. I am an SC beneficiary and want to pursue medical, which is a medical course. The fee is ₹127331.",Yes,490555,Education,NA,127331,127331,12th,medical,medical,Yes
My family earns around Rs 93112 per year. I belong to the SC community and want to start a grocery shop. I need around 4.4 lakh.,Yes,93112,Business,grocery shop,484834,438786,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small service business. My income is 466175 rupees and the project will cost about 115279 rupees.,Yes,466175,Business,service business,115279,50347,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small repair shop. My income is 325481 rupees and the project will cost about 3.0 lakh.,Yes,325481,Business,repair shop,299678,279300,NA,NA,NA,NA
My family earns around Rs 356164 per year. I belong to the SC community and want to start a poultry. I need around ₹139447.,Yes,356164,Business,poultry,153191,139447,NA,NA,NA,NA
I am an SC student and my family income is 254001 rupees. I want to study nursing. My course fee is 1.9 lakhs and I need a loan of ₹189966.,Yes,254001,Education,NA,189966,189966,Graduate,nursing,medical,Yes
My category is not SC. I want to start a small manufacturing business.,No,238288,Business,small manufacturing,443152,393152,NA,NA,NA,NA
I am an SC beneficiary. My family income is 481582 rupees. I want to start a computer centre business and need a loan of ₹133191.,Yes,481582,Business,computer centre,155444,133191,NA,NA,NA,NA
I want to open a repair shop. I am an SC beneficiary and my yearly family income is 444071 rupees. I require about ₹191198.,Yes,444071,Business,repair shop,256899,191198,NA,NA,NA,NA
I am from SC category and want financial help for my repair shop. The total project cost is 1.8 lakhs and I need 1.5 lakh as loan. My annual income is 1.1 lakh.,Yes,107823,Business,repair shop,176333,151564,NA,NA,NA,NA
I am an SC beneficiary. My family income is 2.9 lakh. I want to start a transport business and need a loan of 3.3 lakhs.,Yes,293010,Business,transport,413128,329604,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is 2.6 lakh and I require 207108 rupees.,Yes,258978,Education,NA,207108,207108,Graduate,nursing,professional,Yes
"My family earns Rs 242137 per year. I am an SC beneficiary and want to pursue law, which is a technical course. The fee is 10.7 lakh.",Yes,242137,Education,NA,1066139,1066139,Graduate,law,technical,Yes
I am from Scheduled Caste and want financial assistance for my engineering course. My family income is 2.6 lakh and I require 25.6 lakhs.,Yes,262008,Education,NA,2561079,2561079,12th,engineering,technical,Yes
I belong to Scheduled Caste and want to start a small poultry. My income is 1.8 lakh and the project will cost about 1.2 lakhs.,Yes,177380,Business,poultry,117195,77500,NA,NA,NA,NA
My family earns around Rs 416544 per year. I belong to the SC community and want to start a repair shop. I need around ₹208384.,Yes,416544,Business,repair shop,281684,208384,NA,NA,NA,NA
I am an SC beneficiary. My family income is 463262 rupees. I want to start a service business business and need a loan of Rs 292072.,Yes,463262,Business,service business,321794,292072,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small repair shop. My income is 366088 rupees and the project will cost about 2.9 lakhs.,Yes,366088,Business,repair shop,293387,278286,NA,NA,NA,NA
"I need a loan to study medical. I am an SC student, my income is 2.0 lakhs, and the course fee is 16.9 lakh.",Yes,199028,Education,NA,1689563,1689563,12th,medical,management,Yes
I belong to the SC category. I want an education loan for MCA. My annual family income is 282241 rupees and I need around ₹3362975.,Yes,282241,Education,NA,3641088,3362975,Postgraduate,MCA,professional,Yes
I belong to the SC category. I want an education loan for engineering. My annual family income is Rs 91343 and I need around ₹2407257.,Yes,91343,Education,NA,2407257,2407257,Graduate,engineering,technical,Yes
I am from Scheduled Caste and want financial assistance for my BCA course. My family income is Rs 110933 and I require 8.5 lakhs.,Yes,110933,Education,NA,1116632,852624,Graduate,BCA,technical,Yes
I am from SC category and want financial help for my transport. The total project cost is 5.2 lakhs and I need Rs 431751 as loan. My annual income is 2.8 lakhs.,Yes,282720,Business,transport,519692,431751,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my MCA course. My family income is Rs 266240 and I require Rs 2718574.,Yes,266240,Education,NA,2870342,2718574,Graduate,MCA,technical,Yes
